<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.19	00:00:00	168.845	169.371	168.799	169.178	23334	0	9
2022.10.19	04:00:00	169.178	169.286	168.920	169.081	38072	0	5
2022.10.19	08:00:00	169.078	169.142	168.017	168.270	49078	0	0
2022.10.19	12:00:00	168.275	168.662	167.972	168.389	46159	0	0
2022.10.19	16:00:00	168.389	168.792	167.626	167.708	41030	0	1
2022.10.19	20:00:00	167.709	168.256	167.629	168.140	30943	0	0
2022.10.20	00:00:00	168.089	168.202	167.777	168.043	25112	0	3
2022.10.20	04:00:00	168.041	168.476	167.780	168.212	36172	0	5
2022.10.20	08:00:00	168.210	168.468	167.618	167.704	51670	0	0
2022.10.20	12:00:00	167.716	169.325	167.417	168.718	57651	0	0
2022.10.20	16:00:00	168.718	169.726	168.495	168.731	60912	0	0
2022.10.20	20:00:00	168.731	168.737	168.335	168.672	41058	0	1
2022.10.21	00:00:00	168.696	168.696	168.215	168.270	22234	0	5
2022.10.21	04:00:00	168.269	168.553	168.150	168.371	36400	0	4
2022.10.21	08:00:00	168.369	168.742	167.859	167.987	47257	0	0
2022.10.21	12:00:00	167.988	168.785	167.701	168.572	49729	0	0
2022.10.21	16:00:00	168.574	169.582	164.963	165.794	90341	0	0
2022.10.21	20:00:00	165.793	167.180	165.665	166.758	45179	0	0
2022.10.24	00:00:00	167.927	169.760	165.458	168.446	38611	0	8
2022.10.24	04:00:00	168.447	169.006	168.210	168.957	42809	0	7
2022.10.24	08:00:00	168.957	169.504	168.738	169.127	48447	0	1
2022.10.24	12:00:00	169.127	169.461	167.782	168.802	49660	0	0
2022.10.24	16:00:00	168.802	168.851	167.584	167.946	60007	0	0
2022.10.24	20:00:00	167.947	168.197	167.844	167.977	27308	0	3
2022.10.25	00:00:00	168.026	168.702	167.699	168.614	23421	0	5
2022.10.25	04:00:00	168.614	168.674	168.094	168.231	40275	0	6
2022.10.25	08:00:00	168.231	168.698	167.831	168.523	40444	0	0
2022.10.25	12:00:00	168.523	169.068	168.340	169.052	32846	0	0
2022.10.25	16:00:00	169.051	169.949	169.047	169.787	56656	0	0
2022.10.25	20:00:00	169.784	169.865	169.543	169.616	32418	0	3
2022.10.26	00:00:00	169.677	169.962	169.389	169.443	20137	0	0
2022.10.26	04:00:00	169.439	169.988	169.379	169.787	30285	0	0
2022.10.26	08:00:00	169.787	170.604	169.314	170.507	58441	0	0
2022.10.26	12:00:00	170.507	170.587	169.946	170.184	54720	0	0
2022.10.26	16:00:00	170.187	170.299	169.555	169.999	57361	0	0
2022.10.26	20:00:00	170.004	170.273	169.821	170.153	27692	0	4
2022.10.27	00:00:00	170.192	170.249	169.712	169.785	18033	0	9
2022.10.27	04:00:00	169.787	169.973	169.451	169.476	21351	0	18
2022.10.27	08:00:00	169.476	169.483	168.719	169.153	38098	0	0
2022.10.27	12:00:00	169.155	170.016	169.026	169.644	38305	0	4
2022.10.27	16:00:00	169.642	169.775	168.777	169.108	54281	0	0
2022.10.27	20:00:00	169.107	169.356	168.904	169.149	24265	0	1
2022.10.28	00:00:00	169.063	169.395	168.945	169.358	12953	0	3
2022.10.28	04:00:00	169.362	169.929	169.094	169.266	26974	0	9
2022.10.28	08:00:00	169.265	169.990	168.862	169.943	43680	0	0
2022.10.28	12:00:00	169.945	170.505	169.874	170.439	38061	0	0
2022.10.28	16:00:00	170.440	171.199	170.172	171.169	55262	0	4
2022.10.28	20:00:00	171.169	171.361	171.041	171.280	14973	0	10
2022.10.31	00:00:00	171.203	172.127	170.965	171.702	29212	0	0
2022.10.31	04:00:00	171.715	171.822	171.387	171.478	32694	0	7
2022.10.31	08:00:00	171.479	171.686	171.143	171.630	45287	0	0
2022.10.31	12:00:00	171.631	171.743	170.711	170.762	48478	0	0
2022.10.31	16:00:00	170.762	171.340	170.331	170.449	44829	0	0
2022.10.31	20:00:00	170.453	170.725	170.156	170.576	22442	0	6
2022.11.01	00:00:00	170.577	170.826	170.315	170.499	25638	0	1
